Period,Minutes Remaining,Seconds Remaining,Shot Distance,X Location,Y Location,Shot Made Flag,Game Date,Action Type_Frequency,Team Name_Frequency,Home Team_Frequency,Away Team_Frequency,ShotType_2PT Field Goal,ShotType_3PT Field Goal,ShotZoneBasic_Above the Break 3,ShotZoneBasic_Backcourt,ShotZoneBasic_In The Paint (Non-RA),ShotZoneBasic_Left Corner 3,ShotZoneBasic_Mid-Range,ShotZoneBasic_Restricted Area,ShotZoneBasic_Right Corner 3,ShotZoneArea_Back Court(BC),ShotZoneArea_Center(C),ShotZoneArea_Left Side Center(LC),ShotZoneArea_Left Side(L),ShotZoneArea_Right Side Center(RC),ShotZoneArea_Right Side(R),ShotZoneRange_16-24 ft.,ShotZoneRange_24+ ft.,ShotZoneRange_8-16 ft.,ShotZoneRange_Back Court Shot,ShotZoneRange_Less Than 8 ft.,SeasonType_Playoffs,SeasonType_Regular Season,Game ID_Frequency,Game Event ID_Frequency,Player ID_Frequency
2,1,29,26,-103,245,0,20070226,0.5786407766990291,0.017475728155339806,0.036893203883495145,0.02912621359223301,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.001941747572815534,0.003883495145631068,0.003883495145631068
1,6,44,24,235,58,0,20030401,0.5786407766990291,0.03495145631067961,0.02912621359223301,0.040776699029126215,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.001941747572815534,0.005825242718446602,0.003883495145631068
3,5,9,7,-66,31,0,19990421,0.02912621359223301,0.040776699029126215,0.04660194174757282,0.02330097087378641,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.003883495145631068,0.001941747572815534
4,2,40,25,-174,180,0,20180213,0.5786407766990291,0.027184466019417475,0.03495145631067961,0.031067961165048542,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.001941747572815534,0.001941747572815534,0.005825242718446602
2,7,43,1,-10,0,0,20150209,0.12427184466019417,0.03495145631067961,0.02912621359223301,0.036893203883495145,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.007766990291262136,0.001941747572815534
3,6,16,0,0,0,0,20030114,0.12427184466019417,0.027184466019417475,0.03300970873786408,0.04271844660194175,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.001941747572815534,0.001941747572815534
1,0,54,17,-174,-6,1,20040110,0.015533980582524271,0.031067961165048542,0.036893203883495145,0.031067961165048542,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.001941747572815534,0.001941747572815534,0.005825242718446602
1,3,10,1,12,-5,1,20100312,0.05631067961165048,0.031067961165048542,0.036893203883495145,0.036893203883495145,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.005825242718446602,0.001941747572815534
1,2,0,18,-174,61,1,20040317,0.5786407766990291,0.040776699029126215,0.011650485436893204,0.02330097087378641,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.001941747572815534,0.001941747572815534,0.007766990291262136
2,4,50,2,25,14,1,20000221,0.12427184466019417,0.03495145631067961,0.02912621359223301,0.036893203883495145,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.001941747572815534,0.001941747572815534,0.001941747572815534
